"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","26.8","16","36.9","38","15.8","191","0.812","193","0.601","173","0.341","0.559","0.627","35.3","8.9","8.9","1.6","0.6","4.3","44.1","44.2","53.1","15.3","123","108.4"
"","Shai Gilgeous-Alexander","Okc","*","G","27.4","21","33.5","33.2","8.2","213","0.887","306","0.592","107","0.411","0.598","0.674","32.5","4.8","6.6","1.5","0.7","1.8","37.3","39.1","43.9","12.1","137.8","103.8"
"","Tyrese Maxey","Phi","*","G","25.1","19","40.7","30.2","10.8","154","0.877","251","0.53","185","0.384","0.549","0.609","32.3","4.8","7.6","1.5","0.8","2.8","37.1","39.9","44.7","10.4","124.7","114.4"
"","Giannis Antetokounmpo","Mil","*","F","31","16","30.8","37.6","16","165","0.63","271","0.657","23","0.435","0.656","0.668","30.6","10.7","6.4","1","1","3.5","41.3","37.1","47.8","16.6","129.1","109"
"","Donovan Mitchell","Cle","*","G","29.2","20","34.3","32.5","13.8","129","0.829","210","0.624","207","0.391","0.606","0.646","30.6","5","5.5","1.4","0.3","3.4","35.6","36.1","41.1","11","122.2","111.4"
"","Nikola Jokic","Den","*","C","30.8","20","34.8","28.5","17.3","142","0.852","239","0.695","96","0.438","0.684","0.728","29","12.8","11.1","1.5","0.8","3.5","41.8","40","52.8","18.4","145.1","105.7"
"","Anthony Edwards","Min","*","G","24.3","16","33.3","32.6","11.7","115","0.826","181","0.552","137","0.409","0.579","0.628","28.9","4.5","3.9","1.3","0.6","2.6","33.4","32.8","37.3","9.6","121.6","112.3"
"","Jalen Brunson","Nyk","*","G","29.3","17","34.4","31.8","10.2","108","0.861","233","0.536","127","0.37","0.543","0.594","28.5","3.4","6.2","0.7","0.1","2.4","31.8","34.7","38.1","9.8","124","112.4"
"","Jaylen Brown","Bos","*","G-F","29.1","20","33.1","36.4","14.3","136","0.765","313","0.543","118","0.347","0.537","0.578","28.4","6.2","4.8","1.2","0.4","3.6","34.5","33.2","39.3","11.4","113.5","108.7"
"","Cade Cunningham","Det","*","G","24.2","18","36.8","32.8","16.2","139","0.82","281","0.52","113","0.301","0.5","0.558","28.2","6.5","9.3","1.5","0.8","4.2","34.7","37.5","44","13","115.3","105.8"
